T1548.001,Setuid and Setgid,db55f666-7cba-46c6-9fe6-205a05c3242c
T1003.008,/etc/passwd and /etc/shadow,df1a55ae-019d-4120-bc35-94f4bc5c4b0a
T1497.001,System Checks,dfbd1a21-540d-4574-9731-e852bd6fe840
T1087.001,Local Account,e6f36545-dc1e-47f0-9f48-7f730f54a02e
T1222.002,Linux and Mac File and Directory Permissions Modification,e7469fe2-ad41-4382-8965-99b94dd3c13f
T1222.002,Linux and Mac File and Directory Permissions Modification,ea79f937-4a4d-4348-ace6-9916aec453a4
T1115,Clipboard Data,ee363e53-b083-4230-aff3-f8d955f2d5bb
T1053.006,Systemd Timers,f4983098-bb13-44fb-9b2c-46149961807b
T1007,System Service Discovery,f4b26bce-4c2c-46c0-bcc5-fce062d38bef
T1105,Ingress Tool Transfer,f564c297-7978-4aa9-b37a-d90477feea4e
T1003.008,/etc/passwd and /etc/shadow,f5aa6543-6cb2-4fae-b9c2-b96e14721713
T1048,Exfiltration Over Alternative Protocol,f6786cc8-beda-4915-a4d6-ac2f193bb988
T1087.001,Local Account,f8aab3dd-5990-4bf8-b8ab-2226c951696f
T1562.001,Disable or Modify Tools,fc225f36-9279-4c39-b3f9-5141ab74f8d8
T1222.002,Linux and Mac File and Directory Permissions Modification,fc9d6695-d022-4a80-91b1-381f5c35aff3
T1082,System Information Discovery,fcbdd43f-f4ad-42d5-98f3-0218097e2720
T1087.001,Local Account,fed9be70-0186-4bde-9f8a-20945f9370c2
T1083,File and Directory Discovery,ffc8b249-372a-4b74-adcd-e4c0430842de
